start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
MISW,MISC,552292.3068477539,26752.500982718215,0.0348234398318603,144525,153313,2018,467.4805371126699,661701.3008743897,364408.91275804874,0.0395358854037597,0.024617394931965474,530.7348480983455,330.4500078687503,1578402.5204801923,0.09897672016758548,1328.6653930797656,75121.7014121246
MISW,PJM,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,661701.3008743897,254753.18217639907,0.0395358854037597,0.023485376443506196,530.7348480983455,134.56828981874202,1061556.1919943588,0.07915166708255639,711.9452735408186,50523.17533231725
MISW,SPP,623416.3083102442,30197.678283630063,0.0378647827148437,117645,144556,2018,664.2944622496007,661701.3008743897,496495.5100813233,0.0395358854037597,0.0338995643920898,530.7348480983455,455.0277413171593,1781613.1192659573,0.1113002325106932,1650.0570516651055,84793.2051810866
ISNE,NY,481102.55822554935,23304.138953478523,0.0449984530959899,140763,139286,2018,130.1677848998409,138974.19193031781,612905.4571434589,0.010886532837681382,0.019948067977196723,31.515199094487595,71.91972038506321,1232982.207299326,0.075833053910868,233.60270437939172,58681.939506168346
MISC,SRCE,283457.1645063049,13730.388741597731,0.0515099518651142,125098,125325,2018,148.9962120245869,364408.91275804874,390900.1645700108,0.024617394931965474,0.02132743366233423,330.4500078687503,286.2998419914721,1038766.2418343644,0.09745478045941391,765.7460618848093,49438.52182416431
MISC,PJM,245399.8846300232,11886.93120169311,0.0436744543268655,113595,151162,2018,126.33935777509473,364408.91275804874,254753.18217639907,0.024617394931965474,0.023485376443506196,330.4500078687503,134.56828981874202,864561.9795644709,0.09177722570233716,591.357655462587,41147.5311515334
MISC,SPP,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,364408.91275804874,496495.5100813233,0.024617394931965474,0.0338995643920898,330.4500078687503,455.0277413171593,1232510.7517034712,0.08263565539676027,1109.2704257667772,58659.50128395231
MISC,MISS,827570.7527441994,40086.72056726854,0.0604141124492436,117709,114308,2018,1059.9485745442043,364408.91275804874,,0.024617394931965474,,330.4500078687503,,1191979.665502248,0.08503150738120907,1390.3985824129545,56730.48500577818
SRCE,PJM,283681.5239033813,13741.25649209208,0.0409763371149698,125223,113368,2018,118.4858043845015,390900.1645700108,254753.18217639907,0.02132743366233423,0.023485376443506196,286.2998419914721,134.56828981874202,929334.8706497911,0.08578914722081023,539.3539361947155,44230.29978664124
SRCE,SRCA,701724.6083178418,33990.85600298899,0.0333496329570561,151756,129148,2018,585.1330803764861,390900.1645700108,390443.12513742066,0.02132743366233423,0.0608255060831705,286.2998419914721,175.88098833543688,1483067.898025273,0.11550257270256083,1047.3139107033949,70584.3929946765
SRCE,SOU,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,390900.1645700108,385479.851340759,0.02132743366233423,0.02885689125663845,286.2998419914721,263.36247733061185,1123227.564580057,0.06959749526809367,810.2417924673553,53458.33184464294
SRCE,MISS,593875.9375136134,28766.77151746977,0.0355836276855468,112615,153534,2018,624.2741699796923,390900.1645700108,,0.02132743366233423,,286.2998419914721,,984776.1020836241,0.05691106134788103,910.5740119711643,46868.942071896745
PJM,SRCA,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,254753.18217639907,390443.12513742066,0.023485376443506196,0.0608255060831705,134.56828981874202,175.88098833543688,962750.5331671645,0.10360020299176449,569.3663234058108,45820.66814296822
PJM,NY,19834.756186702347,960.7762552502928,0.0003816455557942,132612,129920,2018,1.103553390593274,254753.18217639907,612905.4571434589,0.023485376443506196,0.019948067977196723,134.56828981874202,71.91972038506321,887493.3955065603,0.04381508997649712,207.5915635943985,42238.917511480926
SRSG,SPP,901538.8325028516,,0.0792837019042968,300626,149221,2018,1390.9422612518476,259107.80861766357,496495.5100813233,0.0483159921010335,0.0338995643920898,139.70889244992054,455.0277413171593,1657142.1512018386,0.1614992583974201,1985.6788950189275,78869.19607943732
