start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
SPP,TRE,333984.62164559326,16177.889512499629,0.0207483273010253,149640,303537,2018,278.50104602052505,496495.5100813233,271718.0809329405,0.0338995643920898,0.021446431902812348,455.0277413171593,222.80324910844055,1102198.212659857,0.07609432359592744,956.332036446125,53389.40702547441
SPP,EICW,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,496495.5100813233,445587.36007816676,0.0338995643920898,0.030982478074698228,455.0277413171593,368.1612345387844,1313689.1990235893,0.08900073853949303,1146.9816524368111,63633.82424871021
SPP,WECC,630794.6186839258,30555.07644593532,0.0454806666870117,149221,202112,2018,797.9065107079689,496495.5100813233,488518.1596198281,0.0338995643920898,0.03196209532527891,455.0277413171593,310.27311938597853,1615808.2883850774,0.11134232640438041,1563.2073714111068,78268.17843910657
SOU,EICW,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,401887.16682316846,445587.36007816676,0.0305865269146315,0.030982478074698228,265.0120294226721,368.1612345387844,1194322.0755706222,0.08098217533845073,893.7527371067279,57851.79714479108
SOU,PJM,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,401887.16682316846,254753.18217639907,0.0305865269146315,0.023485376443506196,265.0120294226721,134.56828981874202,974194.5748529122,0.07336122382322549,658.497364493046,47189.035584910846
EICW,PJM,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,445587.36007816676,254753.18217639907,0.030982478074698228,0.023485376443506196,368.1612345387844,134.56828981874202,845442.2511981358,0.07059825975349492,549.3716599812574,40952.39853167891
PJM,NE,19834.756186702347,960.7762552502928,0.0003816455557942,132612,129920,2018,1.103553390593274,254753.18217639907,484443.0113731868,0.023485376443506196,0.019371648375258812,134.56828981874202,65.73246291504918,759030.9497362883,0.04323867037455921,201.40430612438448,36766.7193204831
