start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
PJMC,MISC,272214.4978338013,13185.804927057226,0.0189171785507202,153373,153313,2018,253.92187924757036,,397036.40215175785,,0.0277312094394043,,372.2827919510444,669250.8999855592,0.046648387990124496,626.2046711986147,31851.993155216045
PJMC,PJMW,375839.12240766606,18205.280730674236,0.0258325962191894,113595,154107,2018,346.79803358706835,,301444.6340358522,,0.047772656734015956,,138.1545781302855,677283.7564435182,0.07360525295320536,484.9526117173539,32234.304914410193
PJMC,MISW,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,,661701.3008743897,,0.0395358854037597,,530.7348480983455,806803.0098179597,0.055666290639050195,577.3769837220765,38398.57958634626
PJME,NY,19834.756186702347,960.7762552502928,0.0003816455557942,129920,132612,2018,1.103553390593274,173983.10970929044,612905.4571434589,0.014143617972745031,0.019948067977196723,40.918488656338894,71.91972038506321,806723.3230394516,0.034473331505735956,113.94176243199539,38394.787013600144
PJME,PJMW,513464.36558532715,24871.71335649053,0.0226377357455566,123096,146390,2018,303.9139969244272,173983.10970929044,301444.6340358522,0.014143617972745031,0.047772656734015956,40.918488656338894,138.1545781302855,988892.1093304697,0.08455401045231759,482.9870637110515,47064.8372655471
PJME,PJMD,69527.8725179545,3367.8623707058596,0.0027104033822193,146246,146294,2018,7.88908729652601,173983.10970929044,225463.1402080607,0.014143617972745031,0.03127780652324641,40.918488656338894,90.45675800194127,468974.1224353056,0.04813182787821074,139.26433395480618,22320.12020918482
MISE,MISC,367309.43935854494,17792.11119830052,0.0254207241210937,143992,151162,2018,341.21782079358866,331484.00868200685,397036.40215175785,0.0208513991241455,0.0277312094394043,279.8845596729041,372.2827919510444,1095829.8501923096,0.0740033326846435,993.3851724175372,52154.37870664055
MISE,PJMW,318365.6441357422,15421.321466918416,0.0189420228729248,128336,152464,2018,254.25535700620117,331484.00868200685,301444.6340358522,0.0208513991241455,0.047772656734015956,279.8845596729041,138.1545781302855,951294.2868536012,0.08756607873108625,672.2944948093907,45275.42527639612
MISE,MISW,664893.304944834,32206.78356985115,0.0300628440166264,145780,144525,2018,527.4701294725842,331484.00868200685,661701.3008743897,0.0208513991241455,0.0395358854037597,279.8845596729041,530.7348480983455,1658078.6145012304,0.0904501285445316,1338.0895372438338,78913.76564610205
ISNE,NY,481102.55822554935,23304.138953478523,0.0449984530959899,140763,139286,2018,130.1677848998409,138974.19193031781,612905.4571434589,0.010886532837681382,0.019948067977196723,31.515199094487595,71.91972038506321,1232982.207299326,0.075833053910868,233.60270437939172,58681.939506168346
MISC,SPPC,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,397036.40215175785,,0.0277312094394043,,372.2827919510444,,768642.7310158571,0.0518499055121093,696.0754685319118,36582.39833170479
MISC,PJMW,245399.8846300232,11886.93120169311,0.0436744543268655,113595,151162,2018,126.33935777509473,397036.40215175785,301444.6340358522,0.0277312094394043,0.047772656734015956,372.2827919510444,138.1545781302855,943880.9208176334,0.11917832050028576,636.7767278564246,44922.597235014546
MISC,SRCE,283457.1645063049,13730.388741597731,0.0515099518651142,125098,125325,2018,148.9962120245869,397036.40215175785,390900.1645700108,0.0277312094394043,0.02132743366233423,372.2827919510444,286.2998419914721,1071393.7312280736,0.10056859496685272,807.5788459671032,50991.37826240404
MISC,SPPS,673739.6398087988,32635.29140747148,0.0451420506816655,117940,149384,2018,792.0176400493893,397036.40215175785,,0.0277312094394043,,372.2827919510444,,1070776.0419605565,0.0728732601210698,1164.3004320004338,50961.98026783813
MISC,MISS,827570.7527441994,40086.72056726854,0.0604141124492436,117709,114308,2018,1059.9485745442043,397036.40215175785,,0.0277312094394043,,372.2827919510444,,1224607.154895957,0.0881453218886479,1432.2313664952487,58283.341444017904
MISC,SPPN,561821.3180701367,27214.076997684147,0.0311756184082031,131499,117940,2018,546.9406922210615,397036.40215175785,,0.0277312094394043,,372.2827919510444,,958857.7202218946,0.058906827847607396,919.2234841721058,45635.3955474589
MISC,MISW,552292.3068477539,26752.500982718215,0.0348234398318603,144525,153313,2018,467.4805371126699,397036.40215175785,661701.3008743897,0.0277312094394043,0.0395358854037597,372.2827919510444,530.7348480983455,1611030.0098739015,0.1020905346750243,1370.4981771620598,76674.55785036432
CANO,BASN,791955.8976283788,38361.571701944944,0.0507183731689453,304274,300863,2018,889.7960312803876,231981.51213757333,805461.7588348878,0.02393037279479111,0.0487463935214355,69.22284508618988,654.3658364337821,1829399.16860084,0.12339513948517192,1613.3847128003595,87067.51055200555
CANO,CASO,745165.3994541309,36095.08558061371,0.0324299802246093,310199,300863,2018,568.947005513417,231981.51213757333,131965.60515153766,0.02393037279479111,0.013933934992048803,69.22284508618988,40.32667447889517,1109112.5167432418,0.07029428801144921,678.496525078502,52786.54730599908
CANO,NWPP,851548.3087763087,41248.170008730725,0.0556887147216796,201104,304459,2018,976.9950391004845,231981.51213757333,454190.68380382087,0.02393037279479111,0.0191012902679443,69.22284508618988,256.39318164425606,1537720.504717703,0.098720377784415,1302.6110658309303,73185.5018677756
