TRE,WECC,EIC
0,0,0
0,0,0.1029
0,0,2.3291
0.132,0.022,6.6433
0.4056,0.7392,11.2512
0.642,2.2136,14.4751
0.7296,3.5927,15.9055
0.78,4.6398,16.1832
0.6336,5.207,15.499
0.54,5.4147,13.6598
0.4524,5.3398,10.7923
0.2988,4.744,6.7156
0.174,3.7835,2.3464
0.042,2.4204,0.2949
0,0.7603,0.0104
0,0.0147,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0694
0,0,1.5989
0.036,0.0139,5.7123
0.1308,0.4432,9.7306
0.2664,1.377,12.8738
0.354,2.4834,14.6744
0.4368,3.538,15.428
0.4416,4.2908,14.9121
0.4284,4.5812,12.695
0.414,4.3837,9.4136
0.3072,3.7562,5.732
0.1728,2.765,2.2061
0.042,1.6018,0.2669
0,0.4344,0.0045
0,0.008,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0803
0,0,2.3073
0.126,0.0141,6.0256
0.342,0.4781,9.8126
0.5316,1.7831,12.4427
0.6516,3.0839,13.4488
0.714,4.0726,13.9472
0.7068,4.5861,13.5543
0.672,4.7588,11.7221
0.5748,4.5269,8.3034
0.3924,3.904,4.489
0.1644,3.0447,1.3846
0.0312,1.9709,0.1466
0,0.706,0.0093
0,0.0199,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0207
0,0,1.3688
0.1668,0.0228,4.9323
0.4212,0.6327,8.7148
0.6312,2.0296,11.4376
0.7428,3.2115,12.9471
0.7584,4.0398,13.4357
0.7152,4.4368,12.5979
0.6324,4.5957,10.9689
0.5256,4.395,8.4038
0.3828,3.9151,5.0414
0.2412,3.0735,1.9573
0.0756,2.0682,0.281
0,0.8368,0.0091
0,0.0407,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0613
0.0012,0,1.417
0.1608,0.0088,3.8722
0.4248,0.565,6.1258
0.6372,2.0611,8.2797
0.7776,3.4498,9.2966
0.8448,4.422,9.7092
0.8184,4.9736,9.4623
0.7092,4.9959,9.2004
0.4884,4.6762,6.816
0.3072,4.1081,3.9041
0.1692,3.29,1.7947
0.042,2.1891,0.3378
0,0.8902,0.0091
0,0.0454,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0072
0,0,0.8295
0.0984,0.0166,3.4133
0.336,0.6769,6.8142
0.624,2.139,9.2027
0.8184,3.4052,11.2645
0.9444,4.2714,11.7656
0.9696,4.7954,12.0802
0.9336,5.0117,11.5886
0.8328,4.935,9.3763
0.6612,4.4112,5.8865
0.4152,3.5819,2.1556
0.1236,2.3786,0.3464
0,0.9721,0.0123
0,0.0585,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0157
0.0036,0.0001,1.028
0.2448,0.0409,3.8212
0.54,0.8534,6.7285
0.7608,2.4183,8.8082
0.9036,3.752,10.3175
0.9816,4.7415,11.152
0.9948,5.267,10.8636
0.948,5.518,9.7384
0.8388,5.4345,8.1295
0.6612,4.8548,5.5244
0.414,3.9094,2.2676
0.1236,2.5969,0.4141
0,1.0032,0.0119
0,0.0634,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1411
0.0024,1.00E-04,2.1117
0.2208,0.0431,6.0015
0.5088,0.6821,10.0108
0.726,1.6821,12.7799
0.8688,2.8325,14.6229
0.9468,3.7848,14.9713
0.9636,4.273,14.3268
0.9192,4.3659,12.8074
0.8136,4.1374,10.4226
0.642,3.7571,7.0284
0.4032,3.1326,2.909
0.1212,1.9446,0.4666
0,0.7015,0.0093
0,0.0426,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2649
0.0036,1.00E-04,3.1872
0.1944,0.0237,7.7498
0.4608,0.5805,11.8063
0.63,1.9414,14.6735
0.7392,3.2635,16.3479
0.8028,4.235,16.8356
0.6336,4.8938,16.353
0.63,5.2203,14.3502
0.5904,5.1317,11.1195
0.3972,4.6878,6.7437
0.1212,3.8364,2.1779
0.0204,2.5983,0.2147
0,1.0818,0.0068
0,0.0911,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1651
0,0,2.1066
0.0744,0.0227,5.6787
0.2676,0.7317,8.9965
0.5232,2.4901,11.4127
0.7452,4.0957,13.245
0.8184,5.2103,13.7947
0.738,5.8254,12.5315
0.63,5.768,10.0215
0.4956,5.3936,7.4291
0.3552,4.7879,4.2262
0.1908,3.7975,1.4943
0.0432,2.4721,0.2509
0,1.0526,0.0121
0,0.0883,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1371
0.0024,0.0001,1.6892
0.156,0.0481,4.9711
0.384,0.9078,7.9864
0.6108,2.5497,10.1255
0.7548,4.0581,11.7741
0.8124,5.1768,13.5476
0.7128,5.7093,12.6219
0.612,5.838,11.0862
0.474,5.7252,8.4223
0.336,5.1453,4.9973
0.1512,4.1665,1.8639
0.036,2.8092,0.2704
0,1.1508,0.0022
0,0.1007,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0886
0,0,1.5927
0.0528,0.0536,4.8278
0.156,0.9071,8.6591
0.2508,2.5073,11.9281
0.3756,3.8703,14.2294
0.4704,4.8473,15.1237
0.4296,5.3351,14.8649
0.3132,5.52,13.0169
0.2424,5.4096,10.0485
0.2064,4.8831,6.6402
0.1584,3.9929,2.9103
0.0516,2.6962,0.488
0,1.1387,0.0081
0,0.1019,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2038
0,0,2.6746
0.0288,0.0569,7.0107
0.0684,0.9152,11.3672
0.102,2.4586,14.7452
0.1512,3.7364,16.184
0.186,4.6745,15.8675
0.186,5.2434,14.9055
0.1776,5.294,14.0144
0.144,5.0599,11.7641
0.1044,4.5083,7.6128
0.0516,3.7846,3.06
0.0132,2.6329,0.4457
0,1.1303,0.0059
0,0.0917,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3036
0,0,2.9523
0.0696,0.0354,6.7574
0.216,0.6332,10.1904
0.3792,1.8728,12.4786
0.5124,3.2318,13.6111
0.5376,4.2593,13.879
0.492,4.7964,13.2582
0.3552,4.9316,11.3108
0.2496,4.7533,8.1007
0.2352,4.1996,4.7141
0.1968,3.3967,1.5044
0.0696,2.3478,0.2168
0,0.9713,0.0171
0,0.0838,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1752
0.006,0.0001,1.7507
0.2016,0.0445,4.8638
0.4428,0.6418,8.2479
0.6192,1.7144,11.3572
0.7236,2.7733,12.9979
0.7812,3.7965,13.44
0.8028,4.5637,12.5432
0.7692,4.75,10.7944
0.6816,4.2497,8.4477
0.5292,3.6692,5.3243
0.2988,3.154,2.4801
0.0924,2.1744,0.5389
0,0.9055,0.0176
0,0.0733,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0442
0.006,0.0001,1.0421
0.1344,0.0579,4.1359
0.27,0.6876,8.3573
0.3384,1.7135,11.5642
0.4164,2.9956,13.7774
0.5112,4.1871,15.0091
0.6216,4.9057,14.6851
0.654,5.1131,12.9615
0.5604,5.0319,9.9315
0.3792,4.5881,6.2936
0.1332,3.7678,2.6149
0.03,2.5916,0.5006
0,1.1227,0.0188
0,0.1136,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2564
0.0048,0.0001,2.5946
0.1392,0.0586,6.5331
0.3312,0.7981,10.4748
0.4992,2.1182,13.7017
0.5736,3.348,15.4187
0.5688,4.337,15.9145
0.51,4.8167,15.2014
0.5508,4.9566,13.5146
0.6072,4.8042,10.8422
0.5208,4.3503,6.8091
0.2916,3.552,2.5751
0.078,2.3894,0.4487
0,1.0117,0.0184
0,0.0971,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1629
0.0036,0.0001,1.6992
0.102,0.0751,4.7319
0.2496,0.8657,7.7651
0.3972,2.1513,10.2995
0.4692,3.3055,11.8539
0.4608,4.1566,12.1339
0.4548,4.6511,10.9822
0.498,4.8557,9.3478
0.516,4.8138,6.9623
0.4704,4.3334,4.291
0.3024,3.5263,1.8967
0.096,2.3881,0.446
0,9.68E-01,0.0191
0,0.076,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0853
0.0048,0.0001,1.3277
0.1476,0.0832,4.1562
0.3804,0.7565,7.3763
0.57,1.765,9.864
0.6828,2.6709,10.9353
0.7284,3.5365,10.9908
0.7752,4.0733,10.3524
0.726,4.4704,9.1007
0.4908,4.3459,6.9673
0.216,3.8481,4.4653
0.072,3.0248,2.0574
0.0216,2.0562,0.4053
0,0.8152,0.0193
0,0.055,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1667
0.0036,0.0001,1.9589
0.0888,0.0821,5.6089
0.2304,0.6182,9.0213
0.4452,1.4072,11.6016
0.6432,2.3553,13.2781
0.7416,3.1141,13.6182
0.6828,3.4577,12.844
0.5088,3.8563,11.0015
0.336,3.7714,8.2835
0.2076,3.0921,5.0415
0.1164,2.6539,1.9189
0.048,1.7348,0.3613
0,0.6519,0.0191
0,0.0783,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1194
0.006,0.0001,1.5221
0.1116,0.054,4.3467
0.2604,0.4784,7.6193
0.4716,1.4033,10.6652
0.6684,2.3993,12.481
0.7344,3.1282,12.9977
0.6156,3.4089,12.4071
0.3972,3.4753,10.5974
0.24,3.4103,7.8374
0.1572,2.9993,4.6869
0.096,2.3954,1.8365
0.0324,1.7849,0.27
0,0.867,0.0059
0,0.1232,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2999
0.0012,0,2.4475
0.0948,0.0724,5.7877
0.3276,0.5905,8.8514
0.5304,1.9772,11.1005
0.672,3.3756,12.0394
0.8196,4.312,11.6726
0.8316,4.6668,10.538
0.7476,4.7379,8.6086
0.5652,4.5806,6.4542
0.3576,4.0375,3.9851
0.1944,3.33,1.467
0.0648,2.3138,0.196
0,1.142,0.0126
0,0.1616,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3533
0.0012,0.00E+00,2.2749
0.0408,0.0788,5.3199
0.0888,0.9496,8.2895
0.1416,2.4074,10.5012
0.2052,3.5843,11.9966
0.2472,4.5443,12.1407
0.258,5.0789,11.2507
0.2412,5.2414,9.67
0.2124,5.1984,7.3733
0.1788,4.7051,4.5079
0.1008,3.8373,1.7142
0.024,2.6393,0.2595
0,1.20E+00,0.0189
0,0.1432,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3394
0.0036,0.0001,2.3671
0.1116,0.1116,5.4942
0.312,1.0557,8.2847
0.5268,2.5592,10.3002
0.7296,3.878,11.4921
0.8856,4.8373,11.9461
0.9444,5.339,11.4874
0.924,5.5184,10.2441
0.8232,5.3946,7.9391
0.6564,4.8728,5.1192
0.4296,3.9948,2.079
0.162,2.7682,0.3536
0.0012,1.2764,0.0247
0,0.1634,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4071
0.0156,0.0003,2.8179
0.2472,0.1138,6.3966
0.5136,1.0072,9.8122
0.7212,2.5043,12.3677
0.8628,3.7784,13.9152
0.9384,4.7206,14.266
0.9552,5.2585,13.4016
0.9144,5.4584,11.5127
0.8136,5.2476,8.5429
0.6492,4.6984,4.9816
0.4248,3.8301,1.9612
0.1608,2.6517,0.3679
0.0012,1.2215,0.0258
0,0.1652,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4201
0.0156,0.0003,2.6193
0.2424,0.1144,5.8783
0.51,0.9168,9.1453
0.7176,2.2952,11.7893
0.858,3.7145,13.1372
0.9324,4.7713,12.9171
0.948,5.4295,11.8313
0.9036,5.6239,10.187
0.8004,5.2601,8.0876
0.6396,4.4021,5.3106
0.4152,3.4727,2.5901
0.1572,2.5254,0.6751
0.0012,1.1771,0.03
0,0.1768,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2781
0.0168,0.0004,2.1503
0.24,0.1158,5.1684
0.5004,0.8484,7.8942
0.7032,2.1151,10.2461
0.8412,3.6423,11.6116
0.9168,4.6896,11.7981
0.9348,5.1955,11.1724
0.894,5.4579,10.0102
0.7932,5.3088,8.2449
0.6312,4.6801,5.5999
0.4092,3.6266,2.855
0.156,2.4157,0.8057
0.0012,1.139,0.0331
0,0.2052,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.1186
0.0168,0.0004,1.4063
0.2364,0.0957,4.2572
0.4932,0.5727,7.3856
0.6948,1.4038,9.7922
0.8316,2.3134,11.4992
0.9072,3.0056,12.2419
0.9252,3.6198,12.1035
0.8856,3.9182,10.9303
0.7872,3.8917,8.868
0.6264,3.501,6.1266
0.4068,2.6779,3.137
1.57E-01,1.5365,0.7713
0.0012,0.5675,0.0216
0,0.047,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4204
0.018,0.0004,3.1215
0.2424,0.0576,7.3329
0.498,0.6799,11.3223
0.6984,1.9889,14.3529
0.8352,3.3756,15.8578
0.9108,4.4529,16.4155
0.9288,5.1494,16.2129
0.8892,5.4482,14.7711
0.792,5.3695,12.0078
0.6324,4.9387,8.0491
0.414,4.0458,3.6515
1.62E-01,2.7819,0.7466
0.0024,1.2985,0.031
0,0.1922,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0001
0,0,0.6736
0.0168,0.0004,3.6772
0.15,0.1136,7.8495
0.2748,0.9061,11.9028
0.3648,2.2118,14.6283
0.4404,3.368,15.9856
0.5184,4.3443,16.2427
0.6312,4.9048,15.7753
0.7524,4.8739,14.1139
0.7416,4.7081,11.2735
0.5856,4.4135,7.3189
0.3588,3.669,3.2299
1.34E-01,2.4745,0.6718
0.0024,1.1787,0.0347
0,0.1822,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0001
0,0,0.5116
0.0132,0.0003,3.1371
0.156,0.127,6.92
0.3156,1.0261,10.3588
0.3552,2.2143,13.2745
0.354,3.1882,14.3744
0.4548,3.8174,14.229
0.6336,4.1184,13.2954
0.6984,4.2725,12.4735
0.5664,4.0172,10.6446
0.384,3.3825,7.0851
0.192,2.392,3.2794
6.72E-02,1.3809,0.7461
0,0.7057,0.0334
0,0.1448,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4758
0.0108,0.0002,3.1426
0.0972,0.075,6.9641
0.1884,0.7195,10.2433
0.2424,1.9323,12.5792
0.2556,3.0976,13.7346
0.258,4.0102,14.2428
0.2448,4.5109,13.5822
0.2316,4.6745,12.1802
0.204,4.6208,9.5932
0.156,4.2167,6.0715
0.0924,3.5659,2.6926
3.36E-02,2.5304,0.6155
0,1.1592,0.0357
0,0.1793,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.001
0,0,0.6469
0.0108,0.0002,3.1301
0.1068,0.119,6.6282
0.2292,0.9646,10.0445
0.336,2.2671,12.1476
0.4584,3.4132,12.8811
0.5304,4.3778,13.1128
0.522,4.9148,13.145
0.42,5.0962,11.5804
0.2868,4.8158,8.7344
0.1848,4.1721,5.4006
0.0996,3.2728,2.2843
0.0336,2.1681,0.5872
0,0.9641,0.0383
0,0.1474,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0004
0,0,0.1648
0.0204,0.0004,1.3419
0.2148,0.1166,3.5257
0.4356,0.9015,6.1478
0.6108,1.9817,8.2486
0.7176,3.1392,9.8341
0.7572,4.1304,10.5751
0.7584,4.9925,10.4152
0.7092,5.3509,9.5712
0.6156,5.2959,7.9606
0.4764,4.8535,5.8535
0.306,4.0512,3.1074
1.18E-01,2.7157,0.8649
0.0024,1.1476,0.0488
0,0.1539,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0021
0,0,0.5237
0.0192,0.0004,2.766
0.1656,0.1486,6.3746
0.3336,1.0756,9.7866
0.4728,2.5231,11.9033
0.5604,3.8072,12.9104
0.6036,4.7131,12.8893
0.6036,5.1636,12.0089
0.5724,5.2759,10.3174
0.5004,5.1588,8.0831
0.396,4.6859,5.723
0.2616,3.8273,3.0337
1.07E-01,2.6712,0.8417
0.0024,1.3388,0.0458
0,0.2461,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.001
0,0,0.6198
0.0072,0.0002,3.4757
0.078,0.1236,7.5909
0.1992,1.1097,11.3777
0.342,2.5525,14.0021
0.4392,3.8689,15.2774
0.468,4.8426,15.6127
0.4236,5.4459,15.19
0.3528,5.7423,13.5778
0.2844,5.6148,10.9425
0.2304,5.1154,7.2626
0.1512,4.2407,3.3374
5.76E-02,2.9357,0.7294
0.0012,1.4077,0.0319
0,0.257,0.0001
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0029
0,0,0.7877
0.0156,0.0003,3.41
0.138,0.0713,6.6206
0.288,0.9356,9.4208
0.4116,2.4189,11.3945
0.4968,3.6409,12.6641
0.5472,4.3675,13.2231
0.5688,4.7471,12.7962
0.5304,4.8881,10.9292
0.444,5.0136,8.1238
0.3216,4.7088,5.1738
0.1956,3.93,2.5127
0.072,2.7609,0.5618
0.0012,1.4722,0.0361
0,0.3097,0.0001
0,0.0028,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0041
0,0,0.6691
0.0144,0.0003,3.1439
0.1332,0.1347,6.5295
0.2676,0.8917,9.4183
0.4092,1.9271,11.6709
0.6372,3.0689,13.1448
0.7572,4.1133,13.5969
0.768,4.7757,13.1061
0.6876,5.1533,11.5448
0.594,5.2004,9.0939
0.4692,4.7475,6.0784
0.312,3.9464,2.9035
1.24E-01,2.815,0.6242
0.0036,1.4001,0.0399
0,0.275,0.0001
0,0.0006,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.005
0,0,0.7124
0.024,0.0005,3.0992
0.2412,0.1613,6.4551
0.486,0.8566,9.5425
0.6828,1.9184,11.9401
0.8196,3.2454,13.4735
0.894,4.4077,13.9598
0.9132,4.902,13.824
0.8748,5.0009,12.5928
0.7788,4.8501,10.321
0.6252,4.3199,7.1531
0.4152,3.4929,3.75
1.74E-01,2.5272,1.0726
0.0072,1.4093,0.0539
0,0.3025,0
0,0.0022,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.005
0,0,0.7782
0.0264,0.0006,3.8583
0.2508,0.1606,8.264
0.4932,1.1638,12.2654
0.6864,2.619,15.1607
0.8088,3.9298,16.5171
0.8676,4.8393,16.9114
0.8652,5.3542,16.7423
0.8136,5.5334,15.3703
0.7032,5.4056,12.6073
0.5292,4.9319,8.8608
0.3072,4.0792,4.4948
1.12E-01,2.8934,1.1372
0.0048,1.4818,0.0652
0,0.3314,0.0002
0,0.0038,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0094
0,0,0.8478
0.0264,0.0006,4.0331
0.2472,0.176,7.8448
0.4908,1.2227,11.3183
0.6912,2.7451,13.8563
0.8196,4.0445,15.0668
0.8808,5.0753,15.4893
0.894,5.6409,15.0964
0.864,5.8955,13.6308
0.7704,5.8314,11.0012
0.6084,5.2607,7.6466
0.3792,4.3496,3.8518
1.43E-01,3.0059,1.012
0.006,1.462,0.0594
0,0.3164,0.0001
0,0.0032,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0105
0,0,0.8222
0.0264,0.0006,3.7364
0.2388,0.1904,7.8227
0.4824,1.2516,11.5819
0.6816,2.6804,14.4037
0.8172,3.9082,16.1049
0.8904,4.7317,16.6369
0.9072,5.0847,16.3046
0.8616,5.1078,14.8533
0.7704,4.9659,12.2114
0.5808,4.3508,8.4368
0.3432,3.5257,4.2099
0.1164,2.5745,1.0634
0.006,1.3799,0.0643
0,0.3128,0.0004
0,0.0038,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0105
0,0,0.7651
0.0276,0.0006,3.6725
0.2388,0.1745,7.8381
0.474,1.1651,11.6083
0.666,2.5446,14.5608
0.8028,3.7616,16.2991
0.8784,4.6195,16.7258
0.8916,5.1786,16.1707
0.8364,5.4444,14.4595
0.7176,5.404,11.7485
0.5268,4.7691,8.0736
0.3036,3.8708,4.1068
0.1176,2.7227,1.1274
0.0072,1.4372,0.0636
0,0.31,0.0006
0,0.0027,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0143
0,0,0.7163
0.0288,0.0018,3.5108
0.174,0.1867,7.6399
0.4584,1.161,11.4187
0.6528,2.4264,13.8611
0.756,3.5329,14.9407
0.7824,4.3067,15.1114
0.7728,4.8082,14.4415
0.708,4.9574,12.8177
0.5796,4.6769,10.4211
0.444,4.1276,7.1626
0.3072,3.2526,3.7734
1.46E-01,2.3629,1.1187
0.0084,1.2926,0.0721
0,0.2916,0.0006
0,0.0027,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.015
0,0,0.7323
0.0336,0.0019,3.4489
0.234,0.157,7.6393
0.4728,0.9613,11.2176
0.6708,2.0951,13.6307
0.8112,3.2658,14.4982
0.8904,4.0656,14.5712
0.9084,4.5555,14.0207
0.87,4.635,12.5753
0.7752,4.2482,10.3162
0.6156,3.6969,7.2517
0.408,3.1223,3.945
1.75E-01,2.2765,1.1999
0.0096,1.215,0.0988
0,0.2987,0.0007
0,0.0055,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0175
0,0,0.8226
0.036,0.002,3.8961
0.2196,0.1856,7.8387
0.4368,1.0708,11.0975
0.6384,2.3093,13.1939
0.7512,3.3183,14.0823
0.7776,4.5675,14.0459
0.7548,4.9448,13.4422
0.7128,4.8916,11.8871
0.6468,4.9144,9.6574
0.5436,4.155,6.8917
0.3732,3.2894,3.5962
0.1572,2.4194,0.9626
0.0096,1.3445,0.0809
0,0.3321,0.0008
0,0.0087,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0202
0,0,0.8916
0.0312,0.0031,3.9281
0.1776,0.1973,7.5908
0.3828,0.877,10.8277
0.618,1.7434,13.2694
0.7632,2.5863,14.589
0.8268,3.1772,14.8521
0.8424,3.4421,14.3227
0.7884,3.4752,12.9521
0.6948,3.3282,10.4728
0.5364,2.9787,7.0126
0.3552,2.4942,3.2599
0.1476,1.8613,0.8299
0.0108,0.992,0.0707
0,0.2883,0.0006
0,0.0082,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0255
0,0,0.8142
0.0372,0.0044,2.9825
0.2196,0.2164,6.1668
0.4452,1.1236,9.1176
0.6516,2.4647,11.3866
0.786,3.5954,12.7256
0.8592,4.3285,12.9836
0.8736,4.87,11.9949
0.8292,4.8429,10.2837
0.7152,4.6786,8.0141
0.5388,4.2349,5.1224
0.3516,3.5077,2.6695
0.1488,2.5314,0.7668
0.0108,1.4284,0.0798
0,0.4054,0.001
0,0.0126,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0169
0,0,0.5973
0.0324,0.0044,2.8463
0.1836,0.2089,5.8865
0.3348,1.2517,8.9975
0.5196,2.6824,11.5179
0.594,3.8575,13.2209
0.6588,4.76,14.1598
0.618,5.2901,13.6496
0.594,5.3213,11.9658
0.5484,4.9722,9.2992
0.4224,4.5111,6.4664
0.2604,3.9938,3.4679
0.1044,2.924,1.0386
0.006,1.5815,0.0985
0,0.3763,0.0012
0,0.006,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0298
0,0,0.8601
0.006,0.0027,3.5073
0.0396,0.1996,6.9938
0.0876,1.2288,9.9987
0.1416,2.5765,12.1714
0.1836,3.6719,13.5895
0.234,4.4602,14.2252
0.2268,4.9786,14.2854
0.2112,5.2386,12.8468
0.2148,5.0699,10.6858
0.1728,4.5664,7.6016
0.1128,3.7661,3.9788
0.048,2.7267,1.1582
0.0024,1.4487,0.1159
0,0.3765,0.0011
0,0.0159,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0328
0,0,0.9592
0.042,0.0057,3.7682
0.18,0.2215,7.3394
0.2904,1.167,10.5975
0.4344,2.4102,13.1003
0.5772,3.4521,14.5548
0.7092,4.2471,14.8572
0.8088,4.8257,14.2852
0.8436,4.8967,12.8354
0.7812,4.6402,10.3657
0.6312,4.1863,7.3252
0.4248,3.383,3.8868
0.1908,2.3193,1.2121
0.012,1.2207,0.1254
0,0.3207,0.0015
0,0.0072,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0399
0,0,0.7595
0.0456,0.0058,3.2319
0.2748,0.2267,6.4142
0.5232,1.1136,9.1602
0.7212,2.2689,11.2189
0.858,3.4775,13.003
0.9312,4.4434,13.7189
0.9456,5.0173,13.0074
0.9036,5.1954,11.2524
0.8016,5.0403,8.808
0.6372,4.4972,6.3489
0.42,3.6836,3.7215
1.81E-01,2.6667,1.2431
0.0132,1.4569,0.1361
0,0.4226,0.0011
0,0.0153,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0251
0,0,0.6739
0.0468,0.0083,2.9619
0.2712,0.2132,6.1448
0.5124,1.1757,9.0809
0.708,2.5274,11.8146
0.8424,3.5503,13.4151
0.9156,4.2607,13.7564
0.9288,4.5583,13.1624
0.8892,4.602,12.0177
0.792,4.3742,10.0038
0.6372,3.961,6.8686
0.4284,3.2451,3.3726
0.1908,2.3294,0.9062
0.0216,1.2766,0.0923
0,0.3278,0.0018
0,0.0018,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0504
0,0,1.0051
