TRE,WECC,EIC
0.8436,4.3794,13.4771
0.7428,4.4012,11.0588
0.5184,4.103,7.9632
0.2232,3.5383,4.0525
0.0636,2.6401,0.833
0,1.2376,0.0333
0,0.2307,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4748
0.006,0.0001,3.0972
0.078,0.0318,6.8732
0.1788,1.1847,9.8293
0.2724,2.7369,12.1031
0.3432,3.9586,12.5896
0.384,4.5863,11.6577
0.3732,4.6047,9.5709
0.3252,4.3863,6.5162
0.2436,3.7871,3.2419
0.1224,2.7039,0.5628
0.0036,1.3503,0.033
0,0.2502,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4404
0.0408,0.0009,2.9891
0.318,0.0362,7.6299
0.5748,1.1096,11.4284
0.7596,2.3612,13.4589
0.8424,3.5663,13.8447
0.8628,3.9776,12.9085
0.8196,4.0433,10.3621
0.7116,3.7742,6.6939
0.5136,3.2758,3.064
0.2388,2.4308,0.5085
0.0072,1.2844,0.0313
0,0.1768,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4829
0.018,0.0004,2.8919
0.1632,0.0812,6.4346
0.4032,1.5756,10.0068
0.666,2.9699,11.9552
0.7512,4.1389,12.1458
0.738,4.8566,11.3794
0.6708,5.1248,9.7912
0.558,4.955,6.3348
0.2868,4.3339,2.7714
0.1044,3.2292,0.4953
0.0024,1.5546,0.0131
0,0.2252,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2278
0.0132,0.0003,1.8953
0.0924,0.1001,5.7406
0.2112,1.5021,9.2641
0.396,2.8464,11.4281
0.5736,3.8749,11.9291
0.6456,4.4516,10.8778
0.4872,4.6676,9.2152
0.2892,4.4792,6.8784
0.138,3.8707,3.4206
0.036,2.8369,0.6911
0,1.3589,0.0335
0,0.2083,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
