start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
SOU,MISS,640037.1396976856,31002.775154459177,0.0321269102783203,153516,150257,2018,563.6300320492815,385479.851340759,,0.02885689125663845,,263.36247733061185,,1025516.9910384447,0.06098380153495875,826.9925093798934,48807.94359756426
SOU,SRCE,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,385479.851340759,390900.1645700108,0.02885689125663845,0.02132743366233423,263.36247733061185,286.2998419914721,1123227.5645800568,0.06959749526809367,810.2417924673553,53458.33184464293
SOU,SRCA,471691.44830852054,22848.27396281664,0.0233156466827392,150303,133851,2018,312.961724139179,385479.851340759,390443.12513742066,0.02885689125663845,0.0608255060831705,263.36247733061185,175.88098833543688,1247614.4247867002,0.11299804402254815,752.2051898052277,59378.337958921315
PJMD,PJMW,455623.5137273682,22069.958874333926,0.0197493101779296,122896,146390,2018,265.1431816442561,225463.1402080607,301444.6340358522,0.03127780652324641,0.047772656734015956,90.45675800194127,138.1545781302855,982531.2879712812,0.09879977343519197,493.7545177764829,46762.10350994244
PJMD,PJME,69527.8725179545,3367.8623707058596,0.0027104033822193,146246,146294,2018,7.88908729652601,225463.1402080607,173983.10970929044,0.03127780652324641,0.014143617972745031,90.45675800194127,40.918488656338894,468974.1224353056,0.04813182787821074,139.26433395480618,22320.12020918482
PJMD,SRCA,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,225463.1402080607,390443.12513742066,0.03127780652324641,0.0608255060831705,90.45675800194127,175.88098833543688,933460.4911988261,0.11139263307150471,525.2547915890101,44426.652510995766
CASO,CANO,745165.3994541309,36095.08558061371,0.0324299802246093,310199,300863,2018,568.947005513417,131965.60515153766,231981.51213757333,0.013933934992048803,0.02393037279479111,40.32667447889517,69.22284508618988,1109112.5167432418,0.07029428801144921,678.496525078502,52786.54730599908
CASO,NWPP,1211590.8749524024,,0.0890568640136718,303308,201052,2018,1562.401153701768,131965.60515153766,454190.68380382087,0.013933934992048803,0.0191012902679443,40.32667447889517,256.39318164425606,1797747.1639077608,0.1220920892736649,1859.1210098249194,85561.08084551642
CASO,BASN,481357.8921260864,23316.50707872732,0.02668015335083,303308,304274,2018,358.1228893743474,131965.60515153766,805461.7588348878,0.013933934992048803,0.0487463935214355,40.32667447889517,654.3658364337821,1418785.2561125117,0.0893604818643143,1052.8154002870247,67524.95703389011
CASO,SRSG,596893.3346004395,28912.931291071,0.0279523665161132,302032,305000,2018,490.39244199604707,131965.60515153766,259107.80861766357,0.013933934992048803,0.0483159921010335,40.32667447889517,139.70889244992054,987966.7483696408,0.0902022936091955,670.4280089248628,47020.79609804017
