PJM,SPP,TRE,SOU,WECC,EICW,NE
3.1268,1.8925,0.8424,2.6572,3.5663,3.7941,2.3741
2.8829,1.7341,0.8628,2.5477,3.9776,3.6778,2.066
2.1954,1.463,0.8196,2.2016,4.0433,3.1059,1.3962
1.3696,1.0565,0.7116,1.6279,3.7742,2.1226,0.5173
0.4931,0.6713,0.5136,0.8147,3.2758,1.0628,0.0221
0.0054,0.2776,0.2388,0.0584,2.4308,0.1671,0
0,0.0296,0.0072,0,1.2844,0.0017,0
0,0,0,0,0.1768,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0486,0,0,0.261,0,0.0007,0.1726
0.6096,0.0072,0.018,1.1408,0.0004,0.31,0.8243
1.6212,0.2736,0.1632,1.827,0.0812,1.2956,1.4172
2.5579,0.7193,0.4032,2.2905,1.5756,2.3018,2.1373
2.9535,1.0817,0.666,2.4777,2.9699,3.0363,2.406
2.9623,1.2697,0.7512,2.4092,4.1389,3.2174,2.2872
2.6573,1.408,0.738,2.2711,4.8566,3.0232,2.0198
2.1807,1.567,0.6708,1.9486,5.1248,2.6003,1.4946
1.2052,1.4383,0.558,1.4253,4.955,1.7827,0.4833
0.2659,0.9281,0.2868,0.7638,4.3339,0.8014,0.0122
0.0002,0.3006,0.1044,0.0625,3.2292,0.132,0
0,0.0125,0.0024,0,1.5546,0.0006,0
0,0,0,0,0.2252,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0047,0,0,0.182,0,0,0.0411
0.2848,0.0081,0.0132,0.8683,0.0003,0.2864,0.4477
1.113,0.6394,0.0924,1.4092,0.1001,1.047,1.532
1.8408,1.4223,0.2112,1.8162,1.5021,1.8273,2.3575
2.3346,1.9732,0.396,2.1086,2.8464,2.3644,2.6473
2.3331,2.2038,0.5736,1.9572,3.8749,2.8031,2.6319
1.895,2.2935,0.6456,1.4936,4.4516,2.8453,2.3504
1.4844,2.1228,0.4872,1.2144,4.6676,2.589,1.8046
0.97,1.7949,0.2892,1.104,4.4792,2.0616,0.9479
0.3394,1.2797,0.138,0.6084,3.8707,1.1334,0.0597
0.0079,0.4729,0.036,0.036,2.8369,0.1743,0
0,0.0334,0,0,1.3589,0.0001,0
0,0,0,0,0.2083,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0675,0,0,0.1797,0,0.0008,0.121
0.8555,0.0149,0.0204,0.7766,0.0004,0.3102,0.9394
2.3047,0.7525,0.204,1.307,0.137,1.524,1.8301
3.1054,1.5468,0.4992,1.8592,1.5743,2.6066,2.295
3.4444,2.0833,0.7344,2.2273,2.8704,3.2355,2.5223
3.4881,2.3534,0.8208,2.2452,3.9325,3.4583,2.4878
3.2541,2.4181,0.8628,1.9673,4.6818,3.3332,2.1366
2.6297,2.2874,0.8556,1.6692,4.9918,2.9795,1.3315
1.7449,1.9325,0.7332,1.2018,4.858,2.2626,0.464
0.6262,1.316,0.4692,0.579,4.2274,1.1883,0.0159
0.009,0.5021,0.1428,0.0409,3.1424,0.1784,0
0,3.57E-02,0.0072,0,1.5368,0.0017,0
0,0,0,0,0.1634,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0538,0.0009,0,0.0735,0,0.0091,0.241
0.4738,0.0467,0.0924,0.2862,0.0019,0.2166,1.2948
1.0206,0.6818,0.48,0.4664,0.0423,1.0752,1.9993
1.4999,1.2616,0.726,0.6286,0.6827,1.9191,2.4277
1.8176,1.711,0.876,0.7946,1.6388,2.4963,2.6165
1.661,1.9122,0.9504,0.9675,2.7068,2.5781,2.5609
1.255,1.9391,0.96,0.943,3.1742,2.4612,2.1918
0.7271,1.7721,0.9072,0.687,3.3876,2.0791,1.2969
0.316,1.3617,0.7908,0.3985,3.4808,1.4651,0.4282
0.0734,0.8186,0.6012,0.1617,3.1305,0.7897,0.0037
0,0.3026,0.318,0.0034,2.4919,0.2203,0
0,0.042,0.0156,0,1.152,0.0039,0
0,0,0,0,0.0979,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0646,0.0001,0,0.15,0,0.0016,0
0.4527,5.71E-02,0.078,0.8342,0.0016,0.1099,0.0442
1.0311,0.5384,0.4572,1.5146,0.1221,0.538,0.1791
1.5885,1.0557,0.7212,2.0691,1.2006,1.0921,0.3315
1.7483,1.4373,0.8796,2.5305,2.5982,1.4402,0.4059
1.6306,1.6212,0.8064,2.5507,3.6762,1.59,0.3265
1.505,1.5842,0.5856,2.332,4.3449,1.5521,0.1795
1.3771,1.5011,0.3192,1.8807,4.6256,1.3865,0.099
0.7295,1.2882,0.2736,1.1739,4.424,1.1224,0.031
0.1732,0.8787,0.1224,0.3999,3.7354,0.6442,0
0,0.3642,0.0552,0.0211,2.7417,0.1748,0
0,1.39E-02,0.0036,0,1.4819,0.0011,0
0,0,0,0,0.2499,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.1685,0.0002,0,0.1236,0,0.0057,0.0499
1.076,0.0641,0.1056,0.7657,0.0022,0.3018,0.6673
1.654,0.9651,0.4956,1.3979,0.1213,1.1022,1.2346
1.9727,1.792,0.6744,2.0187,1.7313,1.7892,1.6751
2.1842,2.3361,0.5904,2.4193,3.2947,2.2629,2.1013
2.1581,2.6754,0.6744,2.4371,4.3888,2.5339,1.722
1.9261,2.7418,0.7488,2.2856,4.8596,2.607,1.03
1.6507,2.6124,0.714,1.8872,5.0632,2.4006,0.6192
1.134,2.2363,0.6336,1.2472,5.063,1.771,0.2659
0.3268,1.5966,0.5136,0.4953,4.3797,1.0463,0.025
0,0.5981,0.312,0.024,3.2476,0.2982,0
0,4.51E-02,0.018,0,1.7057,0.0043,0
0,0,0,0,0.2499,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.1384,0.0001,0,0.1942,0,0.0048,0.0454
